Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS1,Chrome 120.0.0.0,,,2024-01-22 17:41:28,2024-01-22 18:05:21,23m - 53.008s,FAILED
,,,,,,,
Test Cases/Stockbit/GetBrokSumPriceDaily,Chrome 120.0.0.0,,,2024-01-22 17:41:28,2024-01-22 18:16:27,34m - 58.443s,FAILED
strTop1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.017s,PASSED
strTop2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.002s,PASSED
strTop3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.002s,PASSED
strAllBrokAvg = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.001s,PASSED
strAccDist = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.003s,PASSED
strNetVal = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.001s,PASSED
strNetVol = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.002s,PASSED
strTanggal = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.003s,PASSED
strBuyer1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.001s,PASSED
strBuyerVol1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.003s,PASSED
strBuyerAvg1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.002s,PASSED
strSeller1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.001s,PASSED
strSellerVol1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.003s,PASSED
strSellerAvg1 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.002s,PASSED
strBuyer2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.000s,PASSED
strBuyerVol2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.007s,PASSED
strBuyerAvg2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.002s,PASSED
strSeller2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.001s,PASSED
strSellerVol2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.003s,PASSED
strSellerAvg2 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.001s,PASSED
strBuyer3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.001s,PASSED
strBuyerVol3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.003s,PASSED
strBuyerAvg3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.001s,PASSED
strSeller3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:29,0.002s,PASSED
strSellerVol3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:29,2024-01-22 17:41:30,0.002s,PASSED
strSellerAvg3 = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:30,2024-01-22 17:41:30,0.001s,PASSED
strOpenPrice = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:30,2024-01-22 17:41:30,0.001s,PASSED
strLowPrice = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:30,2024-01-22 17:41:30,0.001s,PASSED
strHighPrice = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:30,2024-01-22 17:41:30,0.001s,PASSED
strClosePrice = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 120.0.0.0,,,2024-01-22 17:41:30,2024-01-22 17:41:30,0.002s,PASSED
